iterations,dataset_id,mae,mse,rmse,unique_subsets,num_clusters,actual_epsilon,step
0.2,9,3.47E-17,6.55E-33,8.09E-17,255,8,0.2,0
0.2,10,0.146577381,0.036373211,0.19071762,127,7,0.2,0
0.2,11,0.16953125,0.066567383,0.258006556,31,5,0.2,0
0.2,12,0,0,0,255,8,0.2,0
0.2,13,6.25E-17,1.27E-32,1.13E-16,255,8,0.2,0
0.2,14,0,0,0,255,8,0.2,0
0.2,15,1.39E-17,1.54E-33,3.93E-17,255,8,0.2,0
0.2,16,0.112574405,0.028730277,0.169500079,7,3,0.2,0
0.2,17,0,0,0,255,8,0.16290125,4
0.2,18,0.139732143,0.026315481,0.162220469,127,7,0.2,0
0.2,19,0,0,0,255,8,0.2,0
0.2,20,0.168452381,0.045357143,0.212972165,3,2,0.2,0
0.2,21,2.78E-17,6.16E-33,7.85E-17,255,8,0.2,0
0.2,22,0.132291667,0.027346341,0.165367291,127,7,0.2,0
0.2,23,0,0,0,255,8,0.2,0
0.2,24,0.641964286,0.43762702,0.661533839,3,2,0.2,0
0.2,25,6.94E-18,3.85E-34,1.96E-17,255,8,0.2,0
0.2,26,0.286607143,0.108022073,0.328667116,63,6,0.2,0
0.2,27,0.026785714,0.001330871,0.036481103,127,7,0.2,0
0.2,28,0.075,0.005625,0.075,31,5,0.2,0
0.2,29,0.09375,0.009375,0.096824584,15,4,0.2,0
0.2,30,0,0,0,255,8,0.2,0
0.2,31,0.140029762,0.028696861,0.169401479,31,5,0.2,0
0.2,32,0.038988095,0.001610642,0.0401328,31,5,0.2,0
0.2,33,4.16E-17,7.70E-33,8.78E-17,255,8,0.2,0
0.2,34,0.052232143,0.006456207,0.080350529,127,7,0.2,0
0.2,35,0.234077381,0.081957842,0.2862828,127,7,0.2,0
0.2,36,0.01235119,0.000185126,0.013606106,63,6,0.2,0
0.2,37,0.103869048,0.018811473,0.137154922,63,6,0.2,0
0.2,38,0,0,0,255,8,0.2,0
0.2,39,0.141617063,0.049650416,0.222823732,63,6,0.2,0
0.2,40,0.18452381,0.047989543,0.219065158,127,7,0.2,0
0.2,41,0.053720238,0.005753525,0.075851996,127,7,0.2,0
0.2,42,0.105059524,0.023199936,0.152315253,127,7,0.2,0
0.2,43,0,0,0,255,8,0.2,0
0.2,44,0.021875,0.000673452,0.025950947,127,7,0.2,0
0.2,45,0,0,0,255,8,0.2,0
0.2,46,2.78E-17,6.16E-33,7.85E-17,255,8,0.2,0
0.2,47,0,0,0,255,8,0.2,0
0.225,0,0.140922619,0.036800418,0.191834351,127,7,0.225,0
0.225,1,0.094940476,0.013753455,0.117275123,127,7,0.225,0
0.225,2,0.334002976,0.181994889,0.42660859,63,6,0.2030625,2
0.225,3,0.25,0.074127693,0.272264013,63,6,0.141806117,9
0.225,4,0.146279762,0.02938667,0.171425407,127,7,0.225,0
0.225,5,0.307217262,0.110805166,0.332874099,63,6,0.225,0
0.225,6,1.73E-17,1.64E-33,4.05E-17,255,8,0.225,0
0.225,7,0.070386905,0.008339268,0.091319593,127,7,0.157125892,7
0.225,8,0.207142857,0.056614938,0.237938937,63,6,0.225,0
0.225,9,0.180357143,0.054218772,0.232849248,127,7,0.225,0
0.225,10,0.146577381,0.036373211,0.19071762,127,7,0.192909375,3
